County,Costs with Mortgage,Cost without Mortgage,Average Mortgage Cost,Average Rent Cost,Rent vs. Mortgage
"Carver County, Minnesota",2222,727,1495,1322,-173
"Clay County, Minnesota",1740,651,1089,938,-151
"Crow Wing County, Minnesota",1449,538,911,861,-50
"Dakota County, Minnesota",1975,718,1257,1458,201
"Hennepin County, Minnesota",2013,790,1223,1375,152
"Olmsted County, Minnesota",1783,656,1127,1224,97
"Ramsey County, Minnesota",1816,747,1069,1242,173
"Rice County, Minnesota",1801,622,1179,892,-287
"St. Louis County, Minnesota",1427,558,869,957,88
"Scott County, Minnesota",2062,703,1359,1531,172
"Sherburne County, Minnesota",1873,593,1280,1239,-41
"Stearns County, Minnesota",1611,630,981,973,-8
"Washington County, Minnesota",2086,763,1323,1632,309
"Wright County, Minnesota",1875,624,1251,1239,-12
"DeSoto County, Mississippi",1439,469,970,1385,415
"Forrest County, Mississippi",1266,388,878,835,-43
"Harrison County, Mississippi",1349,423,926,1030,104
"Hinds County, Mississippi",1219,412,807,983,176
"Jackson County, Mississippi",1405,396,1009,1039,30
"Jones County, Mississippi",1269,383,886,802,-84
"Lamar County, Mississippi",1374,404,970,980,10
"Lauderdale County, Mississippi",1164,380,784,880,96
"Lee County, Mississippi",1162,389,773,920,147
"Madison County, Mississippi",1658,490,1168,1067,-101
"Rankin County, Mississippi",1401,439,962,1202,240
"Boone County, Missouri",1449,546,903,958,55
"Buchanan County, Missouri",1145,459,686,807,121
"Cape Girardeau County, Missouri",1334,480,854,838,-16
"Cass County, Missouri",1590,613,977,1064,87
"Christian County, Missouri",1370,529,841,845,4
"Clay County, Missouri",1585,567,1018,1147,129
"Cole County, Missouri",1299,450,849,833,-16
"Franklin County, Missouri",1377,451,926,823,-103
"Greene County, Missouri",1245,487,758,912,154
"Jackson County, Missouri",1495,549,946,1118,172
"Jasper County, Missouri",1102,464,638,866,228
"Jefferson County, Missouri",1362,459,903,860,-43
"Platte County, Missouri",1911,708,1203,1190,-13
"St. Charles County, Missouri",1675,621,1054,1209,155
"St. Francois County, Missouri",1095,387,708,752,44
"St. Louis County, Missouri",1563,626,937,1155,218
"St. Louis city, Missouri",1397,519,878,911,33
"Cascade County, Montana",1436,483,953,837,-116
"Flathead County, Montana",1728,518,1210,1138,-72
"Gallatin County, Montana",1906,667,1239,1582,343
"Lewis and Clark County, Montana",1677,531,1146,1051,-95
"Missoula County, Montana",1761,665,1096,1062,-34
"Yellowstone County, Montana",1683,573,1110,1054,-56
"Douglas County, Nebraska",1725,771,954,1111,157
"Lancaster County, Nebraska",1642,651,991,994,3
"Sarpy County, Nebraska",1853,772,1081,1234,153
"Clark County, Nevada",1726,483,1243,1485,242
"Washoe County, Nevada",1880,560,1320,1479,159
"Cheshire County, New Hampshire",1776,877,899,1040,141
"Grafton County, New Hampshire",1904,842,1062,1182,120
"Hillsborough County, New Hampshire",2266,965,1301,1514,213
"Merrimack County, New Hampshire",2039,935,1104,1309,205
"Rockingham County, New Hampshire",2440,1088,1352,1571,219
"Strafford County, New Hampshire",2029,956,1073,1417,344
"Atlantic County, New Jersey",2048,946,1102,1303,201
"Bergen County, New Jersey",3203,1341,1862,1753,-109
"Burlington County, New Jersey",2113,982,1131,1478,347
"Camden County, New Jersey",2013,989,1024,1268,244
"Cape May County, New Jersey",2026,890,1136,1336,200
"Cumberland County, New Jersey",1699,728,971,1119,148
"Essex County, New Jersey",2974,1395,1579,1376,-203
"Gloucester County, New Jersey",2060,978,1082,1390,308
"Hudson County, New Jersey",2925,1168,1757,1731,-26
"Hunterdon County, New Jersey",2796,1280,1516,1705,189
"Mercer County, New Jersey",2339,1068,1271,1479,208
"Middlesex County, New Jersey",2628,1118,1510,1669,159
"Monmouth County, New Jersey",2813,1220,1593,1660,67
"Morris County, New Jersey",3023,1253,1770,1765,-5
"Ocean County, New Jersey",2077,833,1244,1596,352
"Passaic County, New Jersey",2709,1290,1419,1446,27
"Salem County, New Jersey",1888,938,950,1248,298
"Somerset County, New Jersey",2844,1272,1572,1868,296
"Sussex County, New Jersey",2218,1044,1174,1481,307
"Union County, New Jersey",2883,1285,1598,1616,18
"Warren County, New Jersey",2089,1017,1072,1381,309
"Bernalillo County, New Mexico",1474,492,982,1035,53
"Doña Ana County, New Mexico",1265,385,880,850,-30
"Lea County, New Mexico",1348,393,955,867,-88
"McKinley County, New Mexico",1227,255,972,903,-69
"Otero County, New Mexico",1201,333,868,823,-45
"Sandoval County, New Mexico",1499,448,1051,1361,310
"San Juan County, New Mexico",1364,418,946,870,-76
"Santa Fe County, New Mexico",1725,533,1192,1228,36
"Valencia County, New Mexico",1181,413,768,814,46
"Albany County, New York",1852,697,1155,1195,40
"Bronx County, New York",2697,911,1786,1352,-434
"Broome County, New York",1320,598,722,919,197
"Cattaraugus County, New York",1166,498,668,707,39
"Cayuga County, New York",1411,643,768,846,78
"Chautauqua County, New York",1132,497,635,816,181
"Chemung County, New York",1284,547,737,985,248
"Clinton County, New York",1499,566,933,905,-28
"Dutchess County, New York",2480,1018,1462,1499,37
"Erie County, New York",1480,625,855,1027,172
"Jefferson County, New York",1452,560,892,1130,238
"Kings County, New York",3225,1059,2166,1688,-478
"Madison County, New York",1449,639,810,905,95
"Monroe County, New York",1551,707,844,1102,258
"Nassau County, New York",3485,"1,500+",0,2010,2010
"New York County, New York",3969,1291,2678,2027,-651
"Niagara County, New York",1449,650,799,834,35
"Oneida County, New York",1434,579,855,899,44
"Onondaga County, New York",1469,657,812,990,178
"Ontario County, New York",1564,691,873,951,78
"Orange County, New York",2497,1036,1461,1565,104
"Oswego County, New York",1404,564,840,873,33
"Putnam County, New York",2892,1277,1615,1739,124
"Queens County, New York",2835,999,1836,1779,-57
"Rensselaer County, New York",1799,734,1065,1150,85
"Richmond County, New York",2674,971,1703,1669,-34
"Rockland County, New York",3235,"1,500+",0,1705,1705
"St. Lawrence County, New York",1203,492,711,809,98
"Saratoga County, New York",1961,738,1223,1247,24
"Schenectady County, New York",1727,729,998,1130,132
"Steuben County, New York",1345,526,819,946,127
"Suffolk County, New York",3044,1360,1684,2136,452
"Sullivan County, New York",1863,782,1081,993,-88
"Tompkins County, New York",1905,860,1045,1297,252
"Ulster County, New York",2105,918,1187,1492,305
"Warren County, New York",1597,687,910,1070,160
"Wayne County, New York",1398,653,745,974,229
"Westchester County, New York",3721,"1,500+",0,1764,1764
"Alamance County, North Carolina",1254,381,873,975,102
