County,Total Housing Units built after 2020
"Henderson County, Texas",1604
"Hidalgo County, Texas",9021
"Hood County, Texas",1200
"Hunt County, Texas",2422
"Jefferson County, Texas",2133
"Johnson County, Texas",4434
"Kaufman County, Texas",9303
"Liberty County, Texas",2081
"Lubbock County, Texas",4667
"McLennan County, Texas",1888
"Midland County, Texas",3319
"Montgomery County, Texas",18571
"Nueces County, Texas",1847
"Orange County, Texas",656
"Parker County, Texas",3584
"Potter County, Texas",297
"Randall County, Texas",2122
"Rockwall County, Texas",4565
"San Patricio County, Texas",911
"Smith County, Texas",4004
"Starr County, Texas",465
"Tarrant County, Texas",24565
"Taylor County, Texas",1722
"Tom Green County, Texas",970
"Travis County, Texas",25882
"Victoria County, Texas",280
"Walker County, Texas",1638
"Webb County, Texas",1409
"Wichita County, Texas",73
"Williamson County, Texas",24375
"Wise County, Texas",1246
"Cache County, Utah",1818
"Davis County, Utah",3768
"Salt Lake County, Utah",13543
"Tooele County, Utah",1604
"Utah County, Utah",13605
"Washington County, Utah",6387
"Weber County, Utah",3028
"Chittenden County, Vermont",586
"Albemarle County, Virginia",1149
"Arlington County, Virginia",2220
"Augusta County, Virginia",177
"Bedford County, Virginia",665
"Chesterfield County, Virginia",4902
"Fairfax County, Virginia",6220
"Fauquier County, Virginia",242
"Frederick County, Virginia",916
"Hanover County, Virginia",919
"Henrico County, Virginia",2310
"James City County, Virginia",772
"Loudoun County, Virginia",3537
"Montgomery County, Virginia",849
"Prince William County, Virginia",3043
"Roanoke County, Virginia",468
"Rockingham County, Virginia",407
"Spotsylvania County, Virginia",2404
"Stafford County, Virginia",1254
"York County, Virginia",1156
"Alexandria city, Virginia",845
"Chesapeake city, Virginia",1682
"Hampton city, Virginia",922
"Lynchburg city, Virginia",717
"Newport News city, Virginia",537
"Norfolk city, Virginia",1246
"Portsmouth city, Virginia",93
"Richmond city, Virginia",1679
"Roanoke city, Virginia",319
"Suffolk city, Virginia",2110
"Virginia Beach city, Virginia",973
"Benton County, Washington",1863
"Chelan County, Washington",1210
"Clallam County, Washington",911
"Clark County, Washington",8470
"Cowlitz County, Washington",677
"Franklin County, Washington",1346
"Grant County, Washington",255
"Grays Harbor County, Washington",289
"Island County, Washington",382
"King County, Washington",17462
"Kitsap County, Washington",1870
"Lewis County, Washington",467
"Mason County, Washington",620
"Pierce County, Washington",8381
"Skagit County, Washington",920
"Snohomish County, Washington",9312
"Spokane County, Washington",3805
"Thurston County, Washington",2097
"Whatcom County, Washington",2956
"Yakima County, Washington",1186
"Berkeley County, West Virginia",1737
"Cabell County, West Virginia",470
"Harrison County, West Virginia",161
"Kanawha County, West Virginia",936
"Monongalia County, West Virginia",962
"Raleigh County, West Virginia",0
"Wood County, West Virginia",207
"Brown County, Wisconsin",2702
"Chippewa County, Wisconsin",711
"Dane County, Wisconsin",5222
"Dodge County, Wisconsin",419
"Eau Claire County, Wisconsin",964
"Fond du Lac County, Wisconsin",217
"Jefferson County, Wisconsin",614
"Kenosha County, Wisconsin",1284
"La Crosse County, Wisconsin",506
"Manitowoc County, Wisconsin",78
"Marathon County, Wisconsin",1364
"Milwaukee County, Wisconsin",2549
"Outagamie County, Wisconsin",1587
"Ozaukee County, Wisconsin",329
"Portage County, Wisconsin",487
"Racine County, Wisconsin",727
"Rock County, Wisconsin",1604
"St. Croix County, Wisconsin",1372
"Sauk County, Wisconsin",320
"Sheboygan County, Wisconsin",412
"Walworth County, Wisconsin",753
"Washington County, Wisconsin",1380
"Waukesha County, Wisconsin",2705
"Winnebago County, Wisconsin",1032
"Wood County, Wisconsin",587
"Laramie County, Wyoming",1155
"Natrona County, Wyoming",199
"Arecibo Municipio, Puerto Rico",109
"Bayamón Municipio, Puerto Rico",44
"Caguas Municipio, Puerto Rico",0
"Carolina Municipio, Puerto Rico",91
"Guaynabo Municipio, Puerto Rico",57
"Mayagüez Municipio, Puerto Rico",0
"Ponce Municipio, Puerto Rico",110
"San Juan Municipio, Puerto Rico",97
"Toa Alta Municipio, Puerto Rico",0
"Toa Baja Municipio, Puerto Rico",0
"Trujillo Alto Municipio, Puerto Rico",0
